Pollutant:,BC,Unit: grams of BC,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,10817565125.726395,11333832165.953922,11508800830.679462,11588470314.004848,11671186521.352016,11756876197.013945,11815591946.941689,11870778072.028963,11922529423.495365,11970974241.048645,12016211777.6062,12058301187.692074,12097248966.494488,12133041694.203068,12165644157.235458,12195042613.70584,12221268412.29122,12244384840.817219,12264449604.468378,12281534687.107439,12295707241.465414,12307005487.16221,12315480956.269585,12321231828.120096,12324372868.931911,12324996943.79268,12323163153.54722,12318893238.288301,12312197450.751036,12303064625.65321,12291494172.523163
coal mining 05,0,0,0,0,0,1072403724.2770653,983401826.3326061,996745549.6081517,1068331283.391095,1108788903.6821353,1145640571.0528748,1151528900.1088219,1155268060.7115648,1160116481.4706023,1164330038.30508,1167725329.4793923,1171423985.2553704,1174370122.0297067,1177297525.0209122,1178611185.3560522,1179973957.297698,1181493131.4627552,1182662431.539087,1184667206.7880287,1185925437.781495,1186764803.4083512,1187678987.2792974,1188379439.2260392,1188148406.2486866,1188119910.9230275,1187282862.2764037,1186744623.5347111,1185822776.609813,1184861872.9008148,1183834607.3673096,1183133531.4364483
oil and gas extraction 06,0,0,0,0,0,1824915784.4180143,1856856243.716386,1895351990.0162778,1923118731.5902686,1949318397.4915788,1973534850.7575836,1979937408.8164093,1985073492.8095071,2001130125.6176744,2011099520.073266,2017444641.2591674,2026498125.4186585,2035531281.2312355,2043816800.2785866,2044745715.9303632,2045821065.9083679,2048002823.25294,2052575502.4300945,2058541279.661238,2064839464.6676803,2071125672.43406,2074484006.8452036,2078634738.4484954,2084936498.7206423,2090632068.3371077,2094568323.897176,2098518265.156736,2102726842.8101697,2105266349.370246,2107138062.0121882,2112071977.5163138
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,953948771.9146222,989974916.0533068,1014669355.6877037,1009377606.4138602,1013675297.4040046,1009409624.8488338,1000674056.6594853,992248330.265412,985020097.7670665,977585705.6391704,969495606.7888044,960831230.4198668,953444271.9601933,944711171.5047395,935421404.5647923,927881676.9389001,920359787.9385233,912498000.1537604,905325039.6294026,899217088.0223385,891844189.5413359,884656756.8969015,878972112.8322395,873367013.631931,864045938.791044,857025060.857267,853561792.3953212,850141152.597197,848172822.5649991,838339418.2361399,834612568.6107326
refined petroleum and coke 19,0,0,0,0,0,816027111.0020512,875298380.4239494,942244688.3626795,986016939.9646646,1034168437.2142061,1083546248.21586,1098949581.722744,1095253678.2614462,1108174480.3867795,1105889445.7333155,1102404653.7388208,1091198644.5581546,1080562545.0194871,1079972130.252714,1065954843.5605158,1059270421.9342752,1052511451.3118925,1041482516.7512383,1034004621.5112716,1034359683.9349908,1037757474.4284197,1031006307.375789,1027862298.9327013,1027925723.6911118,1021731266.6252615,1033641838.5345001,1040406371.2757487,1041722518.0294641,1037067771.6890563,1025303226.1542206,1051251921.9472294
chemicals 20,0,0,0,0,0,1950118900.855845,1950276336.4768834,1975042973.0943902,1964793257.5551095,2004895187.6638932,2042801480.6291285,2056012915.0406976,2068010017.7536774,2080261570.6965778,2093305237.619343,2106902391.497515,2120128438.891475,2135102304.2984357,2147611673.3589563,2160919011.676843,2174012553.533594,2186368158.0432825,2197733441.9871826,2208167207.7316804,2217284042.7611775,2225365135.8657794,2235561511.7408466,2245894466.356206,2255657575.1575685,2257999613.9559355,2260672195.637894,2271371938.5055695,2276513112.8922367,2273975272.0024366,2276623049.7185555,2287062809.639772
rubber and plastic products 22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,0,0,0,0,0,376824669.62333506,365824817.9610317,385594544.35816884,390138345.9987609,398112953.46016055,405657852.0745486,408029918.4307518,409609359.35895646,411375185.1566224,413749521.9424819,417534307.51127374,421550421.9707274,424828294.3166925,427944667.92541206,431128535.3556274,434749861.6552059,437472230.21350694,439794486.9160446,441959218.77255213,444017863.7231535,447061130.4260013,450409089.5542946,453004733.91762906,454230593.7473978,455893445.62968636,457606426.6112796,459242606.38533604,460993907.14334166,461064475.62143195,461013818.2416222,461647589.33717054
