Pollutant:,OC,Unit: grams of OC,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,5929648710.498229,6212640507.060428,6308549586.886534,6352220417.02029,6397561309.035536,6444532107.813845,6476717148.236386,6506967424.676409,6535334929.833322,6561889958.307518,6586686915.589215,6609758227.232885,6631107453.576183,6650727238.549573,6668598279.826627,6684713044.792144,6699088717.224542,6711759988.347702,6722758489.260591,6732123677.920148,6739892364.098277,6746085497.880995,6750731326.575282,6753883667.185788,6755605428.819106,6755947515.476355,6754942323.287729,6752601769.085862,6748931472.907872,6743925314.503912,6737582970.206925
coal mining 05,0,0,0,0,0,897868955.997833,870766124.3282918,879601812.868284,937807606.3522066,926781563.5941368,947005401.6162797,952775006.2929711,947004486.249123,949960567.3512651,950700829.0284607,948029429.1106657,948908698.2503146,946751645.2711058,946140586.5895218,937148998.3864756,930152230.0065511,925802730.3919866,920910448.1139252,922835773.7019082,921676678.0635653,919440889.1793634,919186444.0738769,919087037.0240705,914615643.8446918,912782553.8884845,907234544.3080881,904845017.2700002,901347551.8970193,898885066.327209,897293194.5964133,899019855.7771336
oil and gas extraction 06,0,0,0,0,0,4556323790.652273,4656913220.316706,4804939395.593171,4880519377.525941,4947071348.593123,5001623649.187302,5002650408.673679,4997501227.188001,5070628242.933635,5103980443.2309675,5114566217.94167,5146261403.840843,5180136562.01246,5211157411.972602,5193513960.65538,5179253133.300528,5175009593.58173,5189645242.816615,5216197115.5365,5247255691.500338,5280382902.705136,5295327527.76956,5317853162.229125,5357309963.578762,5394490651.093555,5421329214.806294,5450078503.513705,5482421293.930021,5504980536.348491,5524708764.511892,5567475536.359668
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,6367353794.508212,6615351448.9749565,6780237844.2511835,6740505044.758484,6763181112.085246,6727058074.189719,6661907573.126275,6599130421.8990555,6545084887.806221,6489704554.019304,6429762942.484174,6365841151.87663,6311211177.679682,6247068881.124414,6179074455.768769,6123762119.609549,6068714736.532177,6011365440.811352,5959085271.32532,5914567450.255729,5861108804.242004,5809103710.06342,5767992029.011439,5727568227.859438,5660622443.548949,5610272389.600959,5585528185.990174,5561194795.396582,5547375853.780209,5477288239.580354,5451075509.196888
refined petroleum and coke 19,0,0,0,0,0,1939897091.6369596,2080799472.9659076,2239947308.025825,2344004713.0216236,2458472661.7122593,2575855859.723761,2612473370.917508,2603687299.622967,2634403223.3056636,2628971134.078749,2620686926.6499314,2594047487.4384847,2568762863.578273,2567359302.5035477,2534036765.396361,2518146251.592112,2502078516.4935575,2475860027.1938634,2458083231.5065684,2458927302.1922545,2467004685.6606793,2450955501.566206,2443481420.4326286,2443632196.6785636,2428906449.1092744,2457220807.167908,2473301764.7906485,2476430569.2449083,2465365092.6616893,2437397875.200699,2499084305.4944386
chemicals 20,0,0,0,0,0,3412313685.8709993,3467720076.735104,3432009677.821286,3417317841.4340577,3492895789.817552,3581305346.9206285,3616360242.365162,3646910813.639059,3681271776.8652067,3722422605.6474643,3768933702.2488036,3815489356.1251707,3874174220.453007,3920964966.689661,3974499141.994808,4029013749.577936,4081496877.81237,4130465143.0582576,4176214404.406195,4216496333.709951,4252869085.0670066,4303283974.180744,4356416501.003702,4408168876.80308,4419373957.99144,4434193300.128992,4496497883.888969,4528762030.098275,4518880899.523709,4540258837.186376,4607766351.437578
rubber and plastic products 22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,0,0,0,0,0,933378863.5771818,899605394.9596894,964615737.4025257,975820499.5615351,1001218351.3151656,1023714738.5067059,1030325329.5135535,1033725427.0219812,1038145935.911638,1045405685.6739447,1058969000.2566441,1073729385.1106607,1085490476.7731228,1096749051.2029026,1108498298.8480215,1122340152.5060425,1132489124.0893352,1141100102.0581422,1149219324.9189076,1157064917.0502613,1169352898.333273,1183138396.9308703,1193843853.1975093,1198790965.791059,1205791678.6278443,1213166005.6041186,1220360958.5644705,1228205755.3789003,1228927942.3569534,1229277204.751769,1232740165.306643
iron and steel 241,0,0,0,0,0,2174570888.1006384,2222804327.701896,2519902941.0550747,2459961965.0709724,2621645245.660354,2822482647.3054347,2809776955.415402,2776824271.565112,2739934591.6754746,2711589945.9144545,2691727231.9676867,2661588003.1897826,2642209620.2458453,2611108564.6389585,2589707897.8338737,2580020480.745713,2571732689.936928,2558262158.8621697,2541156215.0852275,2508457025.63927,2477321114.47849,2475971764.1708493,2490172866.1420426,2508403607.218486,2493338349.9452367,2476828013.9686813,2493447171.5640235,2493576283.8916473,2442301505.0969086,2405455431.0742593,2419015944.289167
